[Thu Feb 23 14:38:59 2023] ThreadID[25656]	Start Program.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Barrel
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -18.627701 Y 4.039000 Z 0.633100
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.595900 Y 6.155100 Z -17.960501
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Shield
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.726500 Y 6.703000 Z -17.922701
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Shield.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Old_shelf
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.007900 Y 9.192500 Z -17.720699
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Old_shelf.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Door Frame
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -26.017000 Y 4.212600 Z 1.105100
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Door Frame.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Door
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -25.261801 Y 4.212600 Z 1.112600
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Door.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Table
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -21.499001 Y 4.212600 Z -6.071500
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Table.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Piece_of_wood_2
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -18.973600 Y 4.302300 Z -19.560200
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Piece_of_wood_2.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Piece_of_wood
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -20.758400 Y 4.477900 Z -18.702900
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Piece_of_wood.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Old_shelf_2
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -29.793200 Y 8.681300 Z 0.569300
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Old_shelf_2.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: candle_of_wall
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.778799 Y 6.215100 Z -13.487200
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/candle_of_wall.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Camera
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -15.388100 Y 9.109200 Z -21.417601
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Point.001
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -26.745100 Y 9.420200 Z 1.344000
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete. Light created
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Point.002
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -21.532400 Y 9.420200 Z 0.896300
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete. Light created
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Candle
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -20.623301 Y 6.067600 Z -6.246700
